phi1   phi2  phi  COD
 5.0  55.0   0.0    101 
10.0  55.0   0.0    102 
15.0  55.0   0.0    103 
20.0  55.0   0.0    102 
25.0  55.0   0.0    107 
30.0  55.0   0.0    103 
35.0  55.0   0.0     98 
40.0  55.0   0.0    103 
45.0  55.0   0.0    107 
50.0  55.0   0.0    102 
55.0  55.0   0.0    103 
60.0  55.0   0.0    102 
65.0  55.0   0.0    101 
70.0  55.0   0.0     95 
75.0  55.0   0.0     96 
80.0  55.0   0.0     98 
85.0  55.0   0.0     96 
90.0  55.0   0.0     95 
 0.0  60.0   0.0    101 
 5.0  60.0   0.0    102 
10.0  60.0   0.0    103 
15.0  60.0   0.0    102 
20.0  60.0   0.0    107 
25.0  60.0   0.0    103 
30.0  60.0   0.0     98 
35.0  60.0   0.0    103 
40.0  60.0   0.0    107 
45.0  60.0   0.0    102 
50.0  60.0   0.0    103 
55.0  60.0   0.0    102 
60.0  60.0   0.0    101 
65.0  60.0   0.0     95 
70.0  60.0   0.0     96 
75.0  60.0   0.0     98 
80.0  60.0   0.0     96 
85.0  60.0   0.0     95 
90.0  60.0   0.0    101 
 0.0  65.0   0.0    102 
 5.0  65.0   0.0    103 
10.0  65.0   0.0    102 
15.0  65.0   0.0    107 
20.0  65.0   0.0    103 
25.0  65.0   0.0     98 
30.0  65.0   0.0    103 
35.0  65.0   0.0    107 
40.0  65.0   0.0    102 
45.0  65.0   0.0    103 
50.0  65.0   0.0    102 
55.0  65.0   0.0    101 
60.0  65.0   0.0     95 
65.0  65.0   0.0     96 
70.0  65.0   0.0     98 
75.0  65.0   0.0     96 
80.0  65.0   0.0     95 
85.0  65.0   0.0    101 
90.0  65.0   0.0    102 
 0.0  70.0   0.0    103 
 5.0  70.0   0.0    102 
10.0  70.0   0.0    107 
15.0  70.0   0.0    103 
20.0  70.0   0.0     98 
25.0  70.0   0.0    103 
30.0  70.0   0.0    107 
35.0  70.0   0.0    102 
40.0  70.0   0.0    103 
45.0  70.0   0.0    102 
50.0  70.0   0.0    101 
55.0  70.0   0.0     95 
60.0  70.0   0.0     96 
65.0  70.0   0.0     98 
70.0  70.0   0.0     96 
75.0  70.0   0.0     95 
80.0  70.0   0.0    101 
85.0  70.0   0.0    102 
90.0  70.0   0.0    103 
 0.0  75.0   0.0    102 
 5.0  75.0   0.0    107 
10.0  75.0   0.0    103 
15.0  75.0   0.0     98 
20.0  75.0   0.0    103 
25.0  75.0   0.0    107 
30.0  75.0   0.0    102 
35.0  75.0   0.0    103 
40.0  75.0   0.0    102 
45.0  75.0   0.0    101 
50.0  75.0   0.0     95 
55.0  75.0   0.0     96 
60.0  75.0   0.0     98 
65.0  75.0   0.0     96 
70.0  75.0   0.0     95 
75.0  75.0   0.0    101 
80.0  75.0   0.0    102 
85.0  75.0   0.0    103 
90.0  75.0   0.0    102 
 0.0  80.0   0.0    107 
 5.0  80.0   0.0    103 
10.0  80.0   0.0     98 
15.0  80.0   0.0    103 
20.0  80.0   0.0    107 
25.0  80.0   0.0    102 
30.0  80.0   0.0    103 
35.0  80.0   0.0    102 
40.0  80.0   0.0    101 
45.0  80.0   0.0     95 
50.0  80.0   0.0     96 
55.0  80.0   0.0     98 
60.0  80.0   0.0     96 
65.0  80.0   0.0     95 
70.0  80.0   0.0    101 
75.0  80.0   0.0    102 
80.0  80.0   0.0    103 
85.0  80.0   0.0    102 
90.0  80.0   0.0    107 
 0.0  85.0   0.0    103 
 5.0  85.0   0.0     98 
10.0  85.0   0.0    103 
15.0  85.0   0.0    107 
20.0  85.0   0.0    102 
25.0  85.0   0.0    103 
30.0  85.0   0.0    102 
35.0  85.0   0.0    101 
40.0  85.0   0.0     95 
45.0  85.0   0.0     96 
50.0  85.0   0.0     98 
55.0  85.0   0.0     96 
