phi1   phi2  phi  COD
 5.0  55.0   0.0    171 
10.0  55.0   0.0    156 
15.0  55.0   0.0    152 
20.0  55.0   0.0    142 
25.0  55.0   0.0    137 
30.0  55.0   0.0    132 
35.0  55.0   0.0    130 
40.0  55.0   0.0    132 
45.0  55.0   0.0    137 
50.0  55.0   0.0    142 
55.0  55.0   0.0    152 
60.0  55.0   0.0    156 
65.0  55.0   0.0    171 
70.0  55.0   0.0    179 
75.0  55.0   0.0    199 
80.0  55.0   0.0    199 
85.0  55.0   0.0    199 
90.0  55.0   0.0    179 
 0.0  60.0   0.0    171 
 5.0  60.0   0.0    156 
10.0  60.0   0.0    152 
15.0  60.0   0.0    142 
20.0  60.0   0.0    137 
25.0  60.0   0.0    132 
30.0  60.0   0.0    130 
35.0  60.0   0.0    132 
40.0  60.0   0.0    137 
45.0  60.0   0.0    142 
50.0  60.0   0.0    152 
55.0  60.0   0.0    156 
60.0  60.0   0.0    171 
65.0  60.0   0.0    179 
70.0  60.0   0.0    199 
75.0  60.0   0.0    199 
80.0  60.0   0.0    199 
85.0  60.0   0.0    179 
90.0  60.0   0.0    171 
 0.0  65.0   0.0    156 
 5.0  65.0   0.0    152 
10.0  65.0   0.0    142 
15.0  65.0   0.0    137 
20.0  65.0   0.0    132 
25.0  65.0   0.0    130 
30.0  65.0   0.0    132 
35.0  65.0   0.0    137 
40.0  65.0   0.0    142 
45.0  65.0   0.0    152 
50.0  65.0   0.0    156 
55.0  65.0   0.0    171 
60.0  65.0   0.0    179 
65.0  65.0   0.0    199 
70.0  65.0   0.0    199 
75.0  65.0   0.0    199 
80.0  65.0   0.0    179 
85.0  65.0   0.0    171 
90.0  65.0   0.0    156 
 0.0  70.0   0.0    152 
 5.0  70.0   0.0    142 
10.0  70.0   0.0    137 
15.0  70.0   0.0    132 
20.0  70.0   0.0    130 
25.0  70.0   0.0    132 
30.0  70.0   0.0    137 
35.0  70.0   0.0    142 
40.0  70.0   0.0    152 
45.0  70.0   0.0    156 
50.0  70.0   0.0    171 
55.0  70.0   0.0    179 
60.0  70.0   0.0    199 
65.0  70.0   0.0    199 
70.0  70.0   0.0    199 
75.0  70.0   0.0    179 
80.0  70.0   0.0    171 
85.0  70.0   0.0    156 
90.0  70.0   0.0    152 
 0.0  75.0   0.0    142 
 5.0  75.0   0.0    137 
10.0  75.0   0.0    132 
15.0  75.0   0.0    130 
20.0  75.0   0.0    132 
25.0  75.0   0.0    137 
30.0  75.0   0.0    142 
35.0  75.0   0.0    152 
40.0  75.0   0.0    156 
45.0  75.0   0.0    171 
50.0  75.0   0.0    179 
55.0  75.0   0.0    199 
60.0  75.0   0.0    199 
65.0  75.0   0.0    199 
70.0  75.0   0.0    179 
75.0  75.0   0.0    171 
80.0  75.0   0.0    156 
85.0  75.0   0.0    152 
90.0  75.0   0.0    142 
 0.0  80.0   0.0    137 
 5.0  80.0   0.0    132 
10.0  80.0   0.0    130 
15.0  80.0   0.0    132 
20.0  80.0   0.0    137 
25.0  80.0   0.0    142 
30.0  80.0   0.0    152 
35.0  80.0   0.0    156 
40.0  80.0   0.0    171 
45.0  80.0   0.0    179 
50.0  80.0   0.0    199 
55.0  80.0   0.0    199 
60.0  80.0   0.0    199 
65.0  80.0   0.0    179 
70.0  80.0   0.0    171 
75.0  80.0   0.0    156 
80.0  80.0   0.0    152 
85.0  80.0   0.0    142 
90.0  80.0   0.0    137 
 0.0  85.0   0.0    132 
 5.0  85.0   0.0    130 
10.0  85.0   0.0    132 
15.0  85.0   0.0    137 
20.0  85.0   0.0    142 
25.0  85.0   0.0    152 
30.0  85.0   0.0    156 
35.0  85.0   0.0    171 
40.0  85.0   0.0    179 
45.0  85.0   0.0    199 
50.0  85.0   0.0    199 
55.0  85.0   0.0    199 
60.0  85.0   0.0    179 
65.0  85.0   0.0    171 
70.0  85.0   0.0    156 
75.0  85.0   0.0    152 
80.0  85.0   0.0    142 
85.0  85.0   0.0    137 
90.0  85.0   0.0    132 
 0.0  90.0   0.0    130 
 5.0  90.0   0.0    132 
10.0  90.0   0.0    137 
15.0  90.0   0.0    142 
20.0  90.0   0.0    152 
25.0  90.0   0.0    156 
30.0  90.0   0.0    171 
35.0  90.0   0.0    179 
40.0  90.0   0.0    199 
45.0  90.0   0.0    199 
50.0  90.0   0.0    199 
55.0  90.0   0.0    179 
60.0  90.0   0.0    171 
65.0  90.0   0.0    156 
70.0  90.0   0.0    152 
75.0  90.0   0.0    142 
80.0  90.0   0.0    137 
85.0  90.0   0.0    132 
90.0  90.0   0.0    130 
 0.0   0.0   5.0    122 
 5.0   0.0   5.0    128 
10.0   0.0   5.0    126 
15.0   0.0   5.0    135 
20.0   0.0   5.0    138 
25.0   0.0   5.0    149 
30.0   0.0   5.0    158 
35.0   0.0   5.0    169 
40.0   0.0   5.0    176 
45.0   0.0   5.0    179 
50.0   0.0   5.0    176 
55.0   0.0   5.0    166 
60.0   0.0   5.0    156 
65.0   0.0   5.0    148 
70.0   0.0   5.0    140 
75.0   0.0   5.0    134 
80.0   0.0   5.0    127 
85.0   0.0   5.0    122 
90.0   0.0   5.0    123 
 0.0   5.0   5.0    127 
 5.0   5.0   5.0    125 
10.0   5.0   5.0    134 
15.0   5.0   5.0    138 
20.0   5.0   5.0    152 
25.0   5.0   5.0    160 
30.0   5.0   5.0    173 
35.0   5.0   5.0    178 
40.0   5.0   5.0    184 
45.0   5.0   5.0    176 
50.0   5.0   5.0    168 
55.0   5.0   5.0    156 
60.0   5.0   5.0    150 
65.0   5.0   5.0    140 
70.0   5.0   5.0    134 
75.0   5.0   5.0    129 
80.0   5.0   5.0    121 
85.0   5.0   5.0    124 
90.0   5.0   5.0    121 
 0.0  10.0   5.0    124 
 5.0  10.0   5.0    133 
10.0  10.0   5.0    138 
15.0  10.0   5.0    152 
20.0  10.0   5.0    162 
25.0  10.0   5.0    174 
30.0  10.0   5.0    182 
35.0  10.0   5.0    187 
40.0  10.0   5.0    180 
45.0  10.0   5.0    168 
50.0  10.0   5.0    158 
55.0  10.0   5.0    150 
60.0  10.0   5.0    142 
65.0  10.0   5.0    135 
70.0  10.0   5.0    129 
75.0  10.0   5.0    123 
80.0  10.0   5.0    124 
85.0  10.0   5.0    122 
90.0  10.0   5.0    126 
 0.0  15.0   5.0    132 
 5.0  15.0   5.0    137 
10.0  15.0   5.0    152 
15.0  15.0   5.0    163 
20.0  15.0   5.0    177 
25.0  15.0   5.0    184 
30.0  15.0   5.0    191 
35.0  15.0   5.0    183 
40.0  15.0   5.0    172 
45.0  15.0   5.0    158 
50.0  15.0   5.0    151 
55.0  15.0   5.0    142 
60.0  15.0   5.0    136 
65.0  15.0   5.0    129 
70.0  15.0   5.0    123 
75.0  15.0   5.0    126 
80.0  15.0   5.0    121 
85.0  15.0   5.0    127 
90.0  15.0   5.0    132 
 0.0  20.0   5.0    136 
 5.0  20.0   5.0    150 
10.0  20.0   5.0    162 
15.0  20.0   5.0    178 
20.0  20.0   5.0    187 
25.0  20.0   5.0    192 
30.0  20.0   5.0    187 
35.0  20.0   5.0    175 
40.0  20.0   5.0    162 
45.0  20.0   5.0    151 
50.0  20.0   5.0    143 
55.0  20.0   5.0    136 
60.0  20.0   5.0    131 
65.0  20.0   5.0    124 
70.0  20.0   5.0    126 
75.0  20.0   5.0    123 
80.0  20.0   5.0    127 
85.0  20.0   5.0    132 
90.0  20.0   5.0    137 
 0.0  25.0   5.0    149 
 5.0  25.0   5.0    161 
10.0  25.0   5.0    177 
15.0  25.0   5.0    187 
20.0  25.0   5.0    196 
25.0  25.0   5.0    189 
30.0  25.0   5.0    179 
35.0  25.0   5.0    164 
40.0  25.0   5.0    155 
45.0  25.0   5.0    143 
50.0  25.0   5.0    137 
55.0  25.0   5.0    130 
60.0  25.0   5.0    125 
65.0  25.0   5.0    126 
70.0  25.0   5.0    123 
75.0  25.0   5.0    129 
80.0  25.0   5.0    132 
85.0  25.0   5.0    138 
90.0  25.0   5.0    145 
 0.0  30.0   5.0    157 
 5.0  30.0   5.0    171 
10.0  30.0   5.0    182 
15.0  30.0   5.0    191 
20.0  30.0   5.0    185 
25.0  30.0   5.0    176 
30.0  30.0   5.0    162 
35.0  30.0   5.0    152 
40.0  30.0   5.0    142 
45.0  30.0   5.0    133 
50.0  30.0   5.0    132 
55.0  30.0   5.0    127 
60.0  30.0   5.0    129 
65.0  30.0   5.0    122 
70.0  30.0   5.0    129 
75.0  30.0   5.0    134 
80.0  30.0   5.0    137 
85.0  30.0   5.0    147 
90.0  30.0   5.0    149 
 0.0  35.0   5.0    187 
 5.0  35.0   5.0    197 
10.0  35.0   5.0    208 
15.0  35.0   5.0    199 
20.0  35.0   5.0    191 
25.0  35.0   5.0    171 
30.0  35.0   5.0    159 
35.0  35.0   5.0    148 
40.0  35.0   5.0    133 
45.0  35.0   5.0    128 
50.0  35.0   5.0    126 
55.0  35.0   5.0    125 
60.0  35.0   5.0    124 
65.0  35.0   5.0    128 
70.0  35.0   5.0    130 
75.0  35.0   5.0    134 
80.0  35.0   5.0    140 
85.0  35.0   5.0    149 
90.0  35.0   5.0    156 
 0.0  40.0   5.0    196 
 5.0  40.0   5.0    206 
10.0  40.0   5.0    199 
15.0  40.0   5.0    191 
20.0  40.0   5.0    174 
25.0  40.0   5.0    160 
30.0  40.0   5.0    152 
35.0  40.0   5.0    135 
40.0  40.0   5.0    132 
45.0  40.0   5.0    126 
50.0  40.0   5.0    127 
55.0  40.0   5.0    124 
60.0  40.0   5.0    129 
65.0  40.0   5.0    130 
70.0  40.0   5.0    134 
75.0  40.0   5.0    142 
80.0  40.0   5.0    149 
85.0  40.0   5.0    157 
90.0  40.0   5.0    160 
 0.0  45.0   5.0    205 
 5.0  45.0   5.0    197 
10.0  45.0   5.0    190 
15.0  45.0   5.0    174 
20.0  45.0   5.0    163 
